Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 513 files,  1605 codes, 20 comments, 403 blanks, all 2028 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        509 |      1,605 |         20 |        403 |      2,028 |
| Java     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\牛客周赛\130~139\Round132_E_镜像.cpp                      | C++      |        -93 |          0 |        -18 |       -111 |
| c:\cpp\cpp\牛客周赛\130~139\Round132_F_差异.cpp                      | C++      |        -76 |          0 |        -17 |        -93 |
| c:\cpp\cpp\牛客周赛\130~139\Round133_A_小红的闭合标签.cpp                 | C++      |        -21 |          0 |         -4 |        -25 |
| c:\cpp\cpp\牛客周赛\130~139\Round133_B_小红的众数.cpp                   | C++      |        -21 |          0 |         -5 |        -26 |
| c:\cpp\cpp\牛客周赛\130~139\Round133_C_小红的数字查找.cpp                 | C++      |        -29 |          0 |         -7 |        -36 |
| c:\cpp\cpp\牛客周赛\130~139\Round133_D_小红的异或分组.cpp                 | C++      |        -22 |          0 |         -5 |        -27 |
| c:\cpp\cpp\牛客周赛\130~139\Round133_E_小红的路径.cpp                   | C++      |       -151 |          0 |        -22 |       -173 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_A_Nowcoder Weekly Contest.cpp | C++      |        -11 |          0 |         -2 |        -13 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_B_CPC Medal.cpp               | C++      |        -18 |          0 |         -6 |        -24 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_C_Unique Number.cpp           | C++      |        -24 |          0 |        -10 |        -34 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_D_ Balanced Array.cpp         | C++      |        -36 |          0 |         -9 |        -45 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_E_Maximize The Sum.cpp        | C++      |        -38 |          0 |         -7 |        -45 |
| c:\cpp\cpp\牛客周赛\130~139\Round134_F_Palindromic Value.cpp       | C++      |        -51 |          0 |        -12 |        -63 |
| c:\cpp\cpp\牛客周赛\130~139\Round135_A_Add Three.cpp               | C++      |        -14 |          0 |         -4 |        -18 |
